epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,175.161,0.80494,0.73246,0.91513,0.87799,0.88633,0.90646,0.73121,0.79854,0.71824,0.94277,0.000636735,0.000636735,0.000636735
57,178.195,0.79995,0.72885,0.92387,0.88576,0.88778,0.90603,0.72315,0.80048,0.71132,0.94686,0.000636185,0.000636185,0.000636185
58,181.134,0.79656,0.71928,0.91807,0.88245,0.88476,0.90387,0.71612,0.79803,0.71309,0.94267,0.000635634,0.000635634,0.000635634
59,184.045,0.78776,0.72315,0.91077,0.88784,0.87315,0.89409,0.70644,0.80795,0.73525,0.95477,0.000635084,0.000635084,0.000635084
60,186.951,0.78508,0.73665,0.92156,0.83904,0.86765,0.89996,0.719,0.7997,0.82447,0.94263,0.000634534,0.000634534,0.000634534
61,189.866,0.77755,0.72993,0.92385,0.87857,0.86663,0.90356,0.72462,0.7924,0.74704,0.94029,0.000633983,0.000633983,0.000633983
62,192.773,0.78812,0.72011,0.9115,0.87008,0.87798,0.89139,0.71985,0.79377,0.72035,0.94979,0.000633433,0.000633433,0.000633433
63,195.666,0.8125,0.73157,0.91855,0.88659,0.87905,0.8926,0.71212,0.80967,0.71666,0.94952,0.000632883,0.000632883,0.000632883
64,198.592,0.81723,0.72711,0.91895,0.88385,0.87736,0.89231,0.71004,0.79999,0.72358,0.95163,0.000632333,0.000632333,0.000632333
65,201.504,0.78692,0.73386,0.91912,0.84946,0.88682,0.89747,0.71788,0.79862,0.72193,0.94755,0.000631782,0.000631782,0.000631782
66,204.444,0.78815,0.71802,0.91587,0.87817,0.85108,0.90067,0.72025,0.80064,0.75208,0.94827,0.000631232,0.000631232,0.000631232
